codigo,nombre_es,nombre_en,descripcion_en,simbolo,factor_conversion,nivel_categoria,categoria_es,estado
P52,,mol per cubic metre pascal,SI base unit mol divided by the product of the power from the SI base unit metre with exponent 3 and the derived SI unit pascal.,(mol/m³)/Pa,m⁻² x kg⁻¹ x s² x mol,1S,Normativa - múltiplos estándar,Vigente
P53,,unit pole,CGS (Centimetre-Gram-Second system) unit for magnetic flux of a magnetic pole (according to the interaction of identical poles of 1 dyn at a distance of a cm).,unit pole ,"1,256 637 x 10⁻⁷ Wb",2.0,2.0,Vigente
P54,,milligray per second,"0,001-fold of the derived SI unit gray divided by the SI base unit second.",mGy/s,10⁻³ Gy/s,1M,Normativa - múltiplos de uso común,Vigente
P55,,microgray per second,"0,000 001-fold of the derived SI unit gray divided by the SI base unit second.",µGy/s,10⁻⁶ Gy/s,1M,Normativa - múltiplos de uso común,Vigente
P56,,nanogray per second,"0,000 000 001-fold of the derived SI unit gray divided by the SI base unit second.",nGy/s,10⁻⁹ Gy/s,1M,Normativa - múltiplos de uso común,Vigente
P57,,gray per minute,SI derived unit gray divided by the unit minute.,Gy/min,"1,666 67 × 10⁻² Gy/s",1M,Normativa - múltiplos de uso común,Vigente
P58,,milligray per minute,"0,001-fold of the derived SI unit gray divided by the unit minute.",mGy/min,"1,666 67 × 10⁻⁵ Gy/s",1M,Normativa - múltiplos de uso común,Vigente
P59,,microgray per minute,"0,000 001-fold of the derived SI unit gray divided by the unit minute.",µGy/min,"1,666 67 × 10⁻⁸ Gy/s",1M,Normativa - múltiplos de uso común,Vigente
P6,,six pack,,,,3.2,Informativa - unidades de venta,Eliminado de la Rec. 20
P60,,nanogray per minute,"0,000 000 001-fold of the derived SI unit gray divided by the unit minute.",nGy/min,"1,666 67 × 10⁻¹¹ Gy/s",1M,Normativa - múltiplos de uso común,Vigente
P61,,gray per hour,SI derived unit gray divided by the unit hour.,Gy/h,"2,777 78 × 10⁻⁴ Gy/s",1M,Normativa - múltiplos de uso común,Vigente
P62,,milligray per hour,"0,001-fold of the derived SI unit gray divided by the unit hour.",mGy/h,"2,777 78 × 10⁻⁷ Gy/s",1M,Normativa - múltiplos de uso común,Vigente
P63,,microgray per hour,"0,000 001-fold of the derived SI unit gray divided by the unit hour.",µGy/h,"2,777 78 × 10⁻¹⁰ Gy/s",1M,Normativa - múltiplos de uso común,Vigente
P64,,nanogray per hour,"0,000 000 001-fold of the derived SI unit gray divided by the unit hour.",nGy/h,"2,777 78 × 10⁻¹³ Gy/s",1M,Normativa - múltiplos de uso común,Vigente
P65,,sievert per second,Derived SI unit sievert divided by the SI base unit second.,Sv/s,Sv/s,2.0,2.0,Vigente
P66,,millisievert per second,"0,001-fold of the derived SI unit sievert divided by the SI base unit second.",mSv/s,10⁻³ Sv/s,2.0,2.0,Vigente
P67,,microsievert per second,"0,000 001-fold of the derived SI unit sievert divided by the SI base unit second.",µSv/s,10⁻⁶ Sv/s,2.0,2.0,Vigente
