codigo,nombre_es,nombre_en,descripcion_en,simbolo,factor_conversion,nivel_categoria,categoria_es,estado
DRI,,dram (UK),Synonym: avoirdupois dram,,"1,771 745 g",3.5,Informativa - unidades específicas de industria,Vigente
DRL,,dozen roll,"A unit of count defining the number of rolls, expressed in twelve roll units.",,,3.2,Informativa - unidades de venta,Vigente
DRM,,drachm (UK),,,"3,887 935 g",3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
DS,,display,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
DT,,dry ton,"A unit of mass defining the number of tons of a product, disregarding the water content of the product.",,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
DTN,"decitonelada (quintal métrico, 100 kg)",decitonne,"Synonym: centner, metric 100 kg; quintal, metric 100 kg",dt or dtn,10² kg,"1M,3.5",Normativa - múltiplos de uso común | Informativa - unidades específicas de industria,Vigente
DU,,dyne,,dyn,10⁻⁵ N,2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
DWT,,pennyweight,,,"1,555 174 g",3.5,Informativa - unidades específicas de industria,Vigente
DX,,dyne per centimetre,,dyn/cm,10⁻³ N/m,2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
DY,,directory book,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
DZN,docena,dozen,A unit of count defining the number of units in multiples of 12.,DOZ,12,3.7,Informativa - enteros / números / razones,Vigente
DZP,docena de paquetes,dozen pack,A unit of count defining the number of packs in multiples of 12 (pack: standard packaging unit).,,,3.2,Informativa - unidades de venta,Vigente
E01,,newton per square centimetre,A measure of pressure expressed in newtons per square centimetre.,N/cm²,10⁴ Pa,1M,Normativa - múltiplos de uso común,Vigente
E07,,megawatt hour per hour,A unit of accumulated energy of a million watts over a period of one hour.,MW·h/h,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
E08,,megawatt per hertz,A unit of energy expressed as the load change in million watts that will cause a frequency shift of one hertz.,MW/Hz,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
E09,,milliampere hour,A unit of power load delivered at the rate of one thousandth of an ampere over a period of one hour.,mA·h,"3,6 C",1M,Normativa - múltiplos de uso común,Vigente
E10,,degree day,A unit of measure used in meteorology and engineering to measure the demand for heating or cooling over a given period of days.,deg da,,3.5,Informativa - unidades específicas de industria,Vigente
E11,,gigacalorie,A unit of heat energy equal to one thousand million calories.,,10⁹ cal,3.5,Informativa - unidades específicas de industria,Obsoleto (deprecated)
E12,,mille,A unit of count defining the number of cigarettes in units of 1000.,,,3.9,Informativa - varias,Vigente
E14,,kilocalorie (international table),A unit of heat energy equal to one thousand calories.,kcalIT,"4,186 8 x 10³ J",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
E15,,kilocalorie (thermochemical) per hour,A unit of energy equal to one thousand calories per hour.,kcalth/h,"1,162 22 W",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
E16,,million Btu(IT) per hour,A unit of power equal to one million British thermal units per hour.,BtuIT/h,"293 071,1 W",3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
E17,,cubic foot per second,A unit of volume equal to one cubic foot passing a given point in a period of one second.,ft³/s,"2,831 685 x 10⁻² m³/s",3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
E18,,tonne per hour,A unit of weight or mass equal to one tonne per hour.,t/h,"2,777 78 x 10⁻¹ kg/s",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
E19,,ping,A unit of area equal to 3.3 square metres.,,"3,305 m²",3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
E2,,belt,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
E20,,megabit per second,A unit of information equal to 10⁶ (1000000) bits (binary digits) per second.,Mbit/s,,3.6,Informativa - unidades de tecnología de la información,Vigente
E21,,shares,A unit of count defining the number of shares (share: a total or portion of the parts into which a business entity’s capital is divided).,,,3.7,Informativa - enteros / números / razones,Vigente
E22,,TEU,A unit of count defining the number of twenty-foot equivalent units (TEUs) as a measure of containerized cargo capacity.,,,3.4,Informativa - unidades de envío y transporte,Vigente
E23,,tyre,"A unit of count defining the number of tyres (a solid or air-filled covering placed around a wheel rim to form a soft contact with the road, absorb shock and provide traction).",,,3.7,Informativa - enteros / números / razones,Vigente
E25,,active unit,A unit of count defining the number of active units within a substance.,,,3.9,Informativa - varias,Vigente
E27,,dose,A unit of count defining the number of doses (dose: a definite quantity of a medicine or drug).,,,3.9,Informativa - varias,Vigente
E28,,air dry ton,"A unit of mass defining the number of tons of a product, disregarding the water content of the product.",,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
E3,,trailer,,,,3.4,Informativa - unidades de envío y transporte,Eliminado de la Rec. 20
E30,,strand,"A unit of count defining the number of strands (strand: long, thin, flexible, single thread, strip of fibre, constituent filament or multiples of the same, twisted together).",,,3.7,Informativa - enteros / números / razones,Vigente
E31,,square metre per litre,A unit of count defining the number of square metres per litre.,m²/l,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
E32,,litre per hour,A unit of count defining the number of litres per hour.,l/h,"2,777 78 x 10⁻⁷ m³/s",3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
E33,,foot per thousand,A unit of count defining the number of feet per thousand units.,,"3,048 x 10⁻⁴ m",3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
E34,gigabyte,gigabyte,A unit of information equal to 10⁹ bytes.,Gbyte,,3.6,Informativa - unidades de tecnología de la información,Vigente
E35,terabyte,terabyte,A unit of information equal to 10¹² bytes.,Tbyte,,3.6,Informativa - unidades de tecnología de la información,Vigente
E36,petabyte,petabyte,A unit of information equal to 10¹⁵ bytes.,Pbyte,,3.6,Informativa - unidades de tecnología de la información,Vigente
E37,,pixel,A unit of count defining the number of pixels (pixel: picture element).,,,3.6,Informativa - unidades de tecnología de la información,Vigente
E38,,megapixel,A unit of count equal to 10⁶ (1000000) pixels (picture elements).,,,3.6,Informativa - unidades de tecnología de la información,Vigente
E39,,dots per inch,A unit of information defining the number of dots per linear inch as a measure of the resolution or sharpness of a graphic image.,dpi,,3.6,Informativa - unidades de tecnología de la información,Vigente
E4,,gross kilogram,A unit of mass defining the total number of kilograms before deductions.,,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
E40,,part per hundred thousand,A unit of proportion equal to 10⁻⁵.,ppht,1 x 10⁻⁵,3.7,Informativa - enteros / números / razones,Vigente
E41,,kilogram-force per square millimetre,A unit of pressure defining the number of kilograms force per square millimetre.,kgf/mm²,"9,806 65 x 10⁶ Pa",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
E42,,kilogram-force per square centimetre,A unit of pressure defining the number of kilograms force per square centimetre.,kgf/cm²,"9,806 65 x 10⁴ Pa",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
E43,,joule per square centimetre,A unit of energy defining the number of joules per square centimetre.,J/cm²,10⁴ J/m²,1M,Normativa - múltiplos de uso común,Vigente
E44,,kilogram-force metre per square centimetre,A unit of torsion defining the torque kilogram-force metre per square centimetre.,kgf·m/cm²,,3.5,Informativa - unidades específicas de industria,Vigente
E45,,milliohm,,mΩ,10⁻³ Ω,1S,Normativa - múltiplos estándar,Vigente
E46,,kilowatt hour per cubic metre,A unit of energy consumption expressed as kilowatt hour per cubic metre.,kW·h/m³,"3,6 x 10⁶ J/m³",3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
E47,,kilowatt hour per kelvin,A unit of energy consumption expressed as kilowatt hour per kelvin.,kW·h/K,"3,6 x 10⁶ J/K",3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
E48,,service unit,A unit of count defining the number of service units (service unit: defined period / property / facility / utility of supply).,,,3.5,Informativa - unidades específicas de industria,Vigente
E49,,working day,A unit of count defining the number of working days (working day: a day on which work is ordinarily performed).,,,3.5,Informativa - unidades específicas de industria,Vigente
E5,,metric long ton,Use ton (UK) or long ton (US) (common code LTN),,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Eliminado de la Rec. 20
E50,,accounting unit,A unit of count defining the number of accounting units.,,,3.5,Informativa - unidades específicas de industria,Vigente
E51,,job,A unit of count defining the number of jobs.,,,3.5,Informativa - unidades específicas de industria,Vigente
E52,,run foot,A unit of count defining the number feet per run.,,,3.5,Informativa - unidades específicas de industria,Vigente
E53,,test,A unit of count defining the number of tests.,,,3.5,Informativa - unidades específicas de industria,Vigente
E54,,trip,A unit of count defining the number of trips.,,,3.5,Informativa - unidades específicas de industria,Vigente
E55,,use,A unit of count defining the number of times an object is used.,,,3.5,Informativa - unidades específicas de industria,Vigente
E56,,well,A unit of count defining the number of wells.,,,3.5,Informativa - unidades específicas de industria,Vigente
E57,,zone,A unit of count defining the number of zones.,,,3.5,Informativa - unidades específicas de industria,Vigente
E58,,exabit per second,A unit of information equal to 10¹⁸ bits (binary digits) per second.,Ebit/s,,3.6,Informativa - unidades de tecnología de la información,Vigente
E59,,exbibyte,A unit of information equal to 2⁶⁰ bytes.,Eibyte,,3.6,Informativa - unidades de tecnología de la información,Vigente
E60,,pebibyte,A unit of information equal to 2⁵⁰ bytes.,Pibyte,,3.6,Informativa - unidades de tecnología de la información,Vigente
E61,,tebibyte,A unit of information equal to 2⁴⁰ bytes.,Tibyte,,3.6,Informativa - unidades de tecnología de la información,Vigente
E62,,gibibyte,A unit of information equal to 2³⁰ bytes.,Gibyte,,3.6,Informativa - unidades de tecnología de la información,Vigente
E63,,mebibyte,A unit of information equal to 2²⁰ bytes.,Mibyte,,3.6,Informativa - unidades de tecnología de la información,Vigente
E64,,kibibyte,A unit of information equal to 2¹⁰ bytes.,Kibyte,,3.6,Informativa - unidades de tecnología de la información,Vigente
E65,,exbibit per metre,A unit of information equal to 2⁶⁰ bits (binary digits) per metre.,Eibit/m,,3.6,Informativa - unidades de tecnología de la información,Vigente
E66,,exbibit per square metre,A unit of information equal to 2⁶⁰ bits (binary digits) per square metre.,Eibit/m²,,3.6,Informativa - unidades de tecnología de la información,Vigente
E67,,exbibit per cubic metre,A unit of information equal to 2⁶⁰ bits (binary digits) per cubic metre.,Eibit/m³,,3.6,Informativa - unidades de tecnología de la información,Vigente
E68,,gigabyte per second,A unit of information equal to 10⁹ bytes per second.,Gbyte/s,,3.6,Informativa - unidades de tecnología de la información,Vigente
E69,,gibibit per metre,A unit of information equal to 2³⁰ bits (binary digits) per metre.,Gibit/m,,3.6,Informativa - unidades de tecnología de la información,Vigente
E70,,gibibit per square metre,A unit of information equal to 2³⁰ bits (binary digits) per square metre.,Gibit/m²,,3.6,Informativa - unidades de tecnología de la información,Vigente
E71,,gibibit per cubic metre,A unit of information equal to 2³⁰ bits (binary digits) per cubic metre.,Gibit/m³,,3.6,Informativa - unidades de tecnología de la información,Vigente
E72,,kibibit per metre,A unit of information equal to 2¹⁰ bits (binary digits) per metre.,Kibit/m,,3.6,Informativa - unidades de tecnología de la información,Vigente
E73,,kibibit per square metre,A unit of information equal to 2¹⁰ bits (binary digits) per square metre.,Kibit/m²,,3.6,Informativa - unidades de tecnología de la información,Vigente
E74,,kibibit per cubic metre,A unit of information equal to 2¹⁰ bits (binary digits) per cubic metre.,Kibit/m³,,3.6,Informativa - unidades de tecnología de la información,Vigente
E75,,mebibit per metre,A unit of information equal to 2²⁰ bits (binary digits) per metre.,Mibit/m,,3.6,Informativa - unidades de tecnología de la información,Vigente
E76,,mebibit per square metre,A unit of information equal to 2²⁰ bits (binary digits) per square metre.,Mibit/m²,,3.6,Informativa - unidades de tecnología de la información,Vigente
E77,,mebibit per cubic metre,A unit of information equal to 2²⁰ bits (binary digits) per cubic metre.,Mibit/m³,,3.6,Informativa - unidades de tecnología de la información,Vigente
E78,,petabit,A unit of information equal to 10¹⁵ bits (binary digits).,Pbit,,3.6,Informativa - unidades de tecnología de la información,Vigente
E79,,petabit per second,A unit of information equal to 10¹⁵ bits (binary digits) per second.,Pbit/s,,3.6,Informativa - unidades de tecnología de la información,Vigente
E80,,pebibit per metre,A unit of information equal to 2⁵⁰ bits (binary digits) per metre.,Pibit/m,,3.6,Informativa - unidades de tecnología de la información,Vigente
E81,,pebibit per square metre,A unit of information equal to 2⁵⁰ bits (binary digits) per square metre.,Pibit/m²,,3.6,Informativa - unidades de tecnología de la información,Vigente
E82,,pebibit per cubic metre,A unit of information equal to 2⁵⁰ bits (binary digits) per cubic metre.,Pibit/m³,,3.6,Informativa - unidades de tecnología de la información,Vigente
E83,,terabit,A unit of information equal to 10¹² bits (binary digits).,Tbit,,3.6,Informativa - unidades de tecnología de la información,Vigente
E84,,terabit per second,A unit of information equal to 10¹² bits (binary digits) per second.,Tbit/s,,3.6,Informativa - unidades de tecnología de la información,Vigente
E85,,tebibit per metre,A unit of information equal to 2⁴⁰ bits (binary digits) per metre.,Tibit/m,,3.6,Informativa - unidades de tecnología de la información,Vigente
E86,,tebibit per cubic metre,A unit of information equal to 2⁴⁰ bits (binary digits) per cubic metre.,Tibit/m³,,3.6,Informativa - unidades de tecnología de la información,Vigente
E87,,tebibit per square metre,A unit of information equal to 2⁴⁰ bits (binary digits) per square metre.,Tibit/m²,,3.6,Informativa - unidades de tecnología de la información,Vigente
E88,,bit per metre,A unit of information equal to 1 bit (binary digit) per metre.,bit/m,,3.6,Informativa - unidades de tecnología de la información,Vigente
E89,,bit per square metre,A unit of information equal to 1 bit (binary digit) per square metre.,bit/m²,,3.6,Informativa - unidades de tecnología de la información,Vigente
E90,,reciprocal centimetre,,cm⁻¹,10² m⁻¹,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
E91,,reciprocal day,,d⁻¹,"1,157 41 × 10⁻⁵ s⁻¹",3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
E92,,cubic decimetre per hour,,dm³/h,"2,777 78 × 10⁻⁷ m³ x s⁻¹",1S,Normativa - múltiplos estándar,Vigente
E93,,kilogram per hour,,kg/h,"2,777 78 × 10⁻⁴ kg x s⁻¹",1S,Normativa - múltiplos estándar,Vigente
E94,,kilomole per second,,kmol/s,10³ s⁻¹ x mol,1S,Normativa - múltiplos estándar,Vigente
E95,,mole per second,,mol/s,s⁻¹ x mol,1S,Normativa - múltiplos estándar,Vigente
E96,,degree per second,,°/s,"1,745 329 x 10⁻² rad x s⁻¹",1M,Normativa - múltiplos de uso común,Vigente
E97,,millimetre per degree Celcius metre,,mm/(°C·m),10⁻³ K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
E98,,degree Celsius per kelvin,,°C/K,1.0,1M,Normativa - múltiplos de uso común,Vigente
E99,,hectopascal per bar,,hPa/bar,10⁻³,1M,Normativa - múltiplos de uso común,Vigente
EA,cada uno,each,A unit of count defining the number of items regarded as separate units.,,,3.2,Informativa - unidades de venta,Vigente
EB,,electronic mail box,A unit of count defining the number of electronic mail boxes.,,,3.9,Informativa - varias,Vigente
EC,,each per month,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
EP,,eleven pack,,,,3.2,Informativa - unidades de venta,Eliminado de la Rec. 20
EQ,,equivalent gallon,A unit of volume defining the number of gallons of product produced from concentrate.,,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
EV,,envelope,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",,,3.9,Informativa - varias,Eliminado de la Rec. 20
F01,,bit per cubic metre,A unit of information equal to 1 bit (binary digit) per cubic metre.,bit/m³,,3.6,Informativa - unidades de tecnología de la información,Vigente
F02,,kelvin per kelvin,,K/K,1.0,1M,Normativa - múltiplos de uso común,Vigente
F03,,kilopascal per bar,,kPa/bar,10⁻²,1M,Normativa - múltiplos de uso común,Vigente
F04,,millibar per bar,,mbar/bar,10⁻³,1M,Normativa - múltiplos de uso común,Vigente
F05,,megapascal per bar,,MPa/bar,10¹,1M,Normativa - múltiplos de uso común,Vigente
F06,,poise per bar,,P/bar,10⁻⁶ s,2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
F07,,pascal per bar,,Pa/bar,10⁻⁵,1M,Normativa - múltiplos de uso común,Vigente
F08,,milliampere per inch,,mA/in,"3,937 007 874 015 75 x 10⁻² A x m⁻¹",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
F1,,thousand cubic foot per day,,,,3.8,Informativa - múltiplos / fracciones / decimales,Eliminado de la Rec. 20
F10,,kelvin per hour,,K/h,"2,777 78 × 10⁻⁴ s⁻¹ x K",1M,Normativa - múltiplos de uso común,Vigente
F11,,kelvin per minute,,K/min,"1,666 67 × 10⁻² s⁻¹ x K",1M,Normativa - múltiplos de uso común,Vigente
F12,,kelvin per second,,K/s,s⁻¹ x K,1M,Normativa - múltiplos de uso común,Vigente
F13,,slug,A unit of mass. One slug is the mass accelerated at 1 foot per second per second by a force of 1 pound.,slug,"1,459 390 x 10¹ kg",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
F14,,gram per kelvin,,g/K,10⁻³ kg x K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F15,,kilogram per kelvin,,kg/K,kg x K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F16,,milligram per kelvin,,mg/K,10⁻⁶ kg x K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F17,,pound-force per foot,,lbf/ft,"1,459 39 × 10¹ kg x s⁻²",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
F18,,kilogram square centimetre,,kg·cm²,10⁻⁴ kg m²,1M,Normativa - múltiplos de uso común,Vigente
F19,,kilogram square millimetre,,kg·mm²,10⁻⁶ kg m²,1M,Normativa - múltiplos de uso común,Vigente
F20,,pound inch squared,,lb·in²,"2,926 397 x 10⁻⁴ kg x m²",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
F21,,pound-force inch,,lbf·in,"1,129 85 × 10⁻¹ kg x m² x s⁻²",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
F22,,pound-force foot per ampere,,lbf·ft/A,"1,355 82 kg x m² x s⁻² x A⁻¹",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
F23,,gram per cubic decimetre,,g/dm³,kg x m⁻³,1M,Normativa - múltiplos de uso común,Vigente
F24,,kilogram per kilomol,,kg/kmol,10⁻³ kg x mol⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F25,,gram per hertz,,g/Hz,10⁻³ kg x s,1M,Normativa - múltiplos de uso común,Vigente
F26,,gram per day,,g/d,"1,157 41 × 10⁻⁸ kg x s⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F27,,gram per hour,,g/h,"2,777 78 × 10⁻⁷ kg x s⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F28,,gram per minute,,g/min,"1,666 67 × 10⁻⁵ kg x s⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F29,,gram per second,,g/s,10⁻³ kg x s⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F30,,kilogram per day,,kg/d,"1,157 41 × 10⁻⁵ kg x s⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F31,,kilogram per minute,,kg/min,"1,666 67 × 10⁻² kg x s⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F32,,milligram per day,,mg/d,"1,157 41 × 10⁻¹¹ kg x s⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F33,,milligram per minute,,mg/min,"1,666 67 × 10⁻⁸ kg x s⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F34,,milligram per second,,mg/s,10⁻⁶ kg x s⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F35,,gram per day kelvin,,g/(d·K),"1,157 41 × 10⁻⁸ kg x s⁻¹ x K⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F36,,gram per hour kelvin,,g/(h·K),"2,777 78 × 10⁻⁷ kg x s⁻¹ x K⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F37,,gram per minute kelvin,,g/(min·K),"1,666 67 × 10⁻⁵ kg x s⁻¹ x K⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F38,,gram per second kelvin,,g/(s·K),10⁻³ kg x s⁻¹ x K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F39,,kilogram per day kelvin,,kg/(d·K),"1,157 41 × 10⁻⁵ kg x s⁻¹ x K⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F40,,kilogram per hour kelvin,,kg/(h·K),"2,777 78 × 10⁻⁴ kg x s⁻¹ x K⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F41,,kilogram per minute kelvin,,kg/(min·K),"1,666 67 × 10⁻²kg x s⁻¹ x K⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F42,,kilogram per second kelvin,,kg/(s·K),kg x s⁻¹ x K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F43,,milligram per day kelvin,,mg/(d·K),"1,157 41 × 10⁻¹¹ kg x s⁻¹ x K⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F44,,milligram per hour kelvin,,mg/(h·K),"2,777 78 × 10⁻¹⁰ kg x s⁻¹ x K⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F45,,milligram per minute kelvin,,mg/(min·K),"1,666 67 × 10⁻⁸ kg x s⁻¹ x K⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F46,,milligram per second kelvin,,mg/(s·K),10⁻⁶ kg x s⁻¹ x K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F47,,newton per millimetre,,N/mm,10³ kg x s⁻²,1M,Normativa - múltiplos de uso común,Vigente
F48,,pound-force per inch,,lbf/in,"1,751 27 × 10² kg x s⁻²",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
F49,,rod [unit of distance],A unit of distance equal to 5.5 yards (16 feet 6 inches).,rd (US),"5,029 210 m",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
F50,,micrometre per kelvin,,µm/K,10⁻⁶ m x K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F51,,centimetre per kelvin,,cm/K,10⁻² m x K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F52,,metre per kelvin,,m/K,m x K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F53,,millimetre per kelvin,,mm/K,10⁻³ m x K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F54,,milliohm per metre,,mΩ/m,10⁻³ Ω/m,1M,Normativa - múltiplos de uso común,Vigente
F55,,ohm per mile (statute mile),,Ω/mi,"6,213 71 × 10⁻⁴  Ω/m",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
F56,,ohm per kilometre,,Ω/km,10⁻³ Ω/m,1M,Normativa - múltiplos de uso común,Vigente
F57,,milliampere per pound-force per square inch,,mA/(lbf/in²),"1,450 38 × 10⁻⁷ kg⁻¹ x m x s² x A",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
F58,,reciprocal bar,,1/bar,bar⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F59,,milliampere per bar,,mA/bar,10⁻⁸ kg⁻¹ x m x s² x A,1M,Normativa - múltiplos de uso común,Vigente
F60,,degree Celsius per bar,,°C/bar,10⁻⁵ kg⁻¹ x m x s² x K,1M,Normativa - múltiplos de uso común,Vigente
F61,,kelvin per bar,,K/bar,10⁻⁵ kg⁻¹ x m x s² x K,1M,Normativa - múltiplos de uso común,Vigente
F62,,gram per day bar,,g/(d·bar),"1,157 41 × 10⁻¹³ m x s",1M,Normativa - múltiplos de uso común,Vigente
F63,,gram per hour bar,,g/(h·bar),"2,777 78 × 10⁻¹² m x s",1M,Normativa - múltiplos de uso común,Vigente
F64,,gram per minute bar,,g/(min·bar),"1,666 67 × 10⁻¹⁰ m x s",1M,Normativa - múltiplos de uso común,Vigente
F65,,gram per second bar,,g/(s·bar),10⁻⁸ m x s,1M,Normativa - múltiplos de uso común,Vigente
F66,,kilogram per day bar,,kg/(d·bar),"1,157 41 × 10⁻¹⁰ m x s",1M,Normativa - múltiplos de uso común,Vigente
F67,,kilogram per hour bar,,kg/(h·bar),"2,777 78 × 10⁻⁹ m x s",1M,Normativa - múltiplos de uso común,Vigente
F68,,kilogram per minute bar,,kg/(min·bar),"1,666 67 × 10⁻⁷ m x s",1M,Normativa - múltiplos de uso común,Vigente
F69,,kilogram per second bar,,kg/(s·bar),10⁻⁵ m x s,1M,Normativa - múltiplos de uso común,Vigente
F70,,milligram per day bar,,mg/(d·bar),"1,157 41 × 10⁻¹⁶ m x s",1M,Normativa - múltiplos de uso común,Vigente
F71,,milligram per hour bar,,mg/(h·bar),"2,777 78 × 10⁻¹⁵ m x s",1M,Normativa - múltiplos de uso común,Vigente
F72,,milligram per minute bar,,mg/(min·bar),"1,666 67 × 10⁻¹³ m x s",1M,Normativa - múltiplos de uso común,Vigente
F73,,milligram per second bar,,mg/(s·bar),10⁻¹¹ m x s,1M,Normativa - múltiplos de uso común,Vigente
F74,,gram per bar,,g/bar,10⁻⁸ m x s²,1M,Normativa - múltiplos de uso común,Vigente
F75,,milligram per bar,,mg/bar,10⁻¹¹ m x s²,1M,Normativa - múltiplos de uso común,Vigente
F76,,milliampere per millimetre,,mA/mm,m⁻¹ x A,1M,Normativa - múltiplos de uso común,Vigente
F77,,pascal second per kelvin,,Pa.s/K,kg x m⁻¹ x s⁻¹ x K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F78,,inch of water,,inH₂O,"2,490 89 × 10² kg x m⁻¹ x s⁻²",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
F79,,inch of mercury,,inHg,"3,386 39 × 10³ kg x m⁻¹ x s⁻²",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
F80,,water horse power,A unit of power defining the amount of power required to move a given volume of water against acceleration of gravity to a specified elevation (pressure head).,,"7,460 43 x 10² W",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
F81,,bar per kelvin,,bar/K,10⁵ kg x m⁻¹ x s⁻² x K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F82,,hectopascal per kelvin,,hPa/K,10² kg x m⁻¹ x s⁻² x K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F83,,kilopascal per kelvin,,kPa/K,10³ kg x m⁻¹ x s⁻² x K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F84,,millibar per kelvin,,mbar/K,10² kg x m⁻¹ x s⁻² x K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F85,,megapascal per kelvin,,MPa/K,10⁶ kg x m⁻¹ x s⁻² x K⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F86,,poise per kelvin,,P/K,10⁻¹ kg x m⁻¹ x s⁻¹ x K⁻¹,2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
F87,,volt per litre minute,,V/(l·min),"1,666 67 × 10¹ kg x m⁻¹ x s⁻⁴ x A⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F88,,newton centimetre,,N·cm,10⁻² kg x m² x s⁻²,1M,Normativa - múltiplos de uso común,Vigente
F89,,newton metre per degree,,Nm/°,"57,295 788 kg x m² x s⁻² x rad⁻¹",1M,Normativa - múltiplos de uso común,Vigente
F9,,fibre per cubic centimetre of air,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
F90,,newton metre per ampere,,N·m/A,kg x m² x s⁻² x A⁻¹,1M,Normativa - múltiplos de uso común,Vigente
F91,,bar litre per second,,bar·l/s,10² kg x m² x s⁻³,1M,Normativa - múltiplos de uso común,Vigente
F92,,bar cubic metre per second,,bar·m³/s,10⁵ kg x m² x s⁻³,1M,Normativa - múltiplos de uso común,Vigente
F93,,hectopascal litre per second,,hPa·l/s,10⁻¹ kg x m² x s⁻³,1M,Normativa - múltiplos de uso común,Vigente
